Nome: LINS
Codigo Estacao: A727
Latitude: -21.66611111
Longitude: -49.73472221
Altitude: 460.65
Situacao: Operante
Data Inicial: 2018-01-01
Data Final: 2021-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);
2018-10-17;,2;33;27,9;22,6;
2018-10-18;0;34,3;26,6;20,9;
2018-10-19;10;30,1;23,8;19,6;
2018-10-20;0;28,3;22,5;17,5;
2018-10-21;0;29,6;22,2;15;
2018-10-22;0;33;24,5;16;
2018-10-23;0;34;27,5;20;
2018-10-24;7,8;29,5;23,3;20,1;
2018-10-25;2,6;25,1;22,3;20,8;
2018-10-26;16;28,8;23,4;21,3;
2018-10-27;8;29,3;23,7;21,3;
2018-10-28;1,4;29,7;23,5;17,7;
2018-10-29;0;30,1;22,5;15,1;
2018-10-30;0;33,1;25;17,4;
2018-10-31;0;34,9;27,5;20,7;
2018-11-01;0;31;25;19,6;
2018-11-02;0;33,2;26,3;20,2;
2018-11-03;0;35,2;27,8;21,1;
2018-11-04;28,8;28,5;23,8;19,2;
2018-11-05;0;30,1;23,6;18,2;
2018-11-06;0;31,9;24,4;18,3;
2018-11-07;6,6;23,9;21,7;19,7;
2018-11-08;7,4;23;20,1;18,5;
2018-11-09;6,8;24,4;20,9;17,7;
2018-11-10;1,4;29,5;23;19,2;
2018-11-11;0;33,3;25,9;20;
2018-11-12;0;34;27,6;21,3;
2018-11-13;0;35,1;28,7;22,6;
2018-11-14;0;35,5;28;22,8;
2018-11-15;0;35,1;28,1;22,4;
2018-11-16;0;35,2;28,2;22;
2018-11-17;0;33,2;26,9;19,9;
2018-11-18;7,6;30,7;24,9;22,2;
2018-11-19;21,2;28,1;22,3;21,3;
2018-11-20;2,8;26,4;21,4;17,7;
2018-11-21;0;30,1;23,5;17,5;
2018-11-22;2;31,4;25;20,3;
2018-11-23;18,2;26,9;22,7;20,8;
2018-11-24;12,4;30,9;23,2;20,4;
2018-11-25;51;30,4;24,6;20,6;
2018-11-26;0;29,9;24,7;20,2;
2018-11-27;0;32,1;25,2;18,4;
2018-11-28;0;33,1;26,2;19,2;
2018-11-29;0;33,4;26,8;20,5;
2018-11-30;0;33,3;25,9;22,2;
2018-12-01;13,6;29,3;23,9;21,6;
2018-12-02;,8;32;25,1;22,1;
2018-12-03;10,4;30,7;24,9;19,6;
2018-12-04;0;33,5;26,1;19;
2018-12-05;0;34,8;28,2;22;
2018-12-06;0;35,5;28,1;21;
2018-12-07;0;34;27;20,7;
2018-12-08;0;29,2;23,5;17,9;
2018-12-09;0;32,9;23,6;15,1;
2018-12-10;null;null;null;22,5;
2018-12-11;null;null;null;null;
2018-12-12;null;null;null;null;
2018-12-13;null;null;null;null;
2018-12-14;null;null;null;null;
2018-12-15;0;36,1;27,5;23,9;
2018-12-16;0;37,2;29;21,7;
2018-12-17;null;null;null;23,6;
2018-12-18;null;null;null;null;
2018-12-19;null;null;null;null;
2018-12-20;null;null;null;null;
2018-12-21;0;38,8;29,6;24;
2018-12-22;1,4;36;26,5;22,6;
2018-12-23;null;null;null;null;
2018-12-24;null;null;null;null;
2018-12-25;null;null;null;null;
2018-12-26;13,4;29,7;24,6;21,6;
2018-12-27;8,4;32,1;25;20,7;
2018-12-28;,8;33,1;25,8;20,9;
2018-12-29;null;null;null;22,4;
2018-12-30;null;null;null;null;
2018-12-31;null;null;null;null;
2019-01-01;0;34,4;27,7;22,7;
2019-01-02;0;34,4;28,4;23,1;
2019-01-03;null;null;null;25,2;
2019-01-04;null;null;null;null;
2019-01-05;null;null;null;null;
2019-01-06;2,6;31;24,5;21,7;
2019-01-07;3,6;35,1;27,6;21,5;
2019-01-08;0;35,5;28,8;22,8;
2019-01-09;0;36;29,3;23,5;
2019-01-10;null;null;null;null;
2019-01-11;null;null;null;null;
2019-01-12;null;null;null;null;
2019-01-13;null;null;null;null;
2019-01-14;null;null;null;null;
2019-01-15;null;null;null;null;
2019-01-16;0;37,4;29;24,1;
2019-01-17;null;null;null;22,3;
2019-01-18;null;null;null;null;
2019-01-19;null;null;null;null;
2019-01-20;0;36,5;28,1;21,7;
2019-01-21;null;null;null;25,9;
2019-01-22;null;null;null;null;
2019-01-23;null;null;null;null;
2019-01-24;null;null;null;null;
2019-01-25;null;null;null;null;
2019-01-26;null;null;null;null;
2019-01-27;null;null;null;null;
2019-01-28;1,6;35,5;27,5;20,8;
2019-01-29;0;36,7;null;23,9;
2019-01-30;null;null;null;null;
2019-01-31;null;null;null;null;
2019-02-01;null;null;null;null;
2019-02-02;null;null;null;null;
2019-02-03;null;null;null;null;
2019-02-04;null;null;null;null;
2019-02-05;null;null;null;null;
2019-02-06;null;null;null;null;
2019-02-07;null;null;null;null;
2019-02-08;null;null;null;null;
2019-02-09;null;null;null;null;
2019-02-10;null;null;null;null;
2019-02-11;null;null;null;null;
2019-02-12;5,6;28,8;25;22,3;
2019-02-13;null;null;null;22,1;
2019-02-14;null;null;null;null;
2019-02-15;6;29,2;24,2;21,2;
2019-02-16;30,4;28,6;23,5;20,1;
2019-02-17;null;null;null;21,8;
2019-02-18;null;null;null;null;
2019-02-19;null;null;null;null;
2019-02-20;0;28,4;23,8;21,5;
2019-02-21;null;null;null;21,5;
2019-02-22;null;null;null;null;
2019-02-23;null;null;null;null;
2019-02-24;10;35,7;25,9;21,9;
2019-02-25;9;34,4;25,8;21,3;
2019-02-26;null;null;null;null;
2019-02-27;null;null;null;null;
2019-02-28;null;null;null;null;
2019-03-01;9;30,7;23,9;21,6;
2019-03-02;7,2;30,2;24,3;22;
2019-03-03;,6;31,5;25,4;21,3;
2019-03-04;0;29,2;23,8;20,2;
2019-03-05;4,8;31,7;25,3;20,3;
2019-03-06;null;null;null;22,9;
2019-03-07;null;null;null;null;
2019-03-08;null;null;null;null;
2019-03-09;0;34,9;27;22;
2019-03-10;0;33,5;25,6;21,8;
2019-03-11;null;null;null;null;
2019-03-12;null;null;null;null;
2019-03-13;null;null;null;null;
2019-03-14;,8;30,5;25;21,3;
2019-03-15;49,2;30,2;24,2;20,9;
2019-03-16;null;null;null;21,9;
2019-03-17;null;null;null;null;
2019-03-18;22,2;33,3;25,4;22,4;
2019-03-19;4,4;33,6;27;21,6;
2019-03-20;0;34,1;25,8;21,6;
2019-03-21;13,2;27,2;23,1;21,3;
2019-03-22;0;28,2;22,7;17,8;
2019-03-23;0;30,7;24,1;18,4;
